jurisdiction,vertical,regulator,statute_citation,admin_code_citation,admin_code_title,admin_code_url,verification_status,retrieval_date,source_urls,notes
Michigan,Horse/parimutuel racing,Michigan Gaming Control Board,Mich. Comp. Laws § 431.301 et seq.,Mich. Admin. Code R 431.1001 et seq. (Horse Racing General Rules),"Michigan Administrative Code, Department of Treasury - Michigan Gaming Control Board, Horse Racing General Rules (R 431.1001 et seq.)",https://www.michigan.gov/mgcb/horse-racing/resources/horse-racing-act-and-rules,verified,2026-05-23,https://www.michigan.gov/mgcb/horse-racing/resources/horse-racing-act-and-rules;https://ars.apps.lara.state.mi.us/AdminCode/DownloadAdminCodeFile?FileName=R+431.1001+to+R+431.5040.pdf,Pari-mutuel horse racing (Horse Racing Law of 1995) regulated by MGCB; Horse Racing General Rules at Mich. Admin. Code R 431.1001 to R 431.5040 (incl. Standardbred racing Part 4). Official MGCB horse-racing page (HTTP 200) and ARS verified.
Michigan,Sports betting,Michigan Gaming Control Board,Mich. Comp. Laws § 432.401 et seq.,Mich. Admin. Code R 432.701 et seq. (Internet Sports Betting),"Michigan Administrative Code, Department of Treasury - Michigan Gaming Control Board, Internet Sports Betting (R 432.701 et seq.)",https://www.michigan.gov/mgcb,verified,2026-05-23,https://www.michigan.gov/mgcb;https://ars.apps.lara.state.mi.us/,"Lawful Sports Betting Act (MCL 432.401 et seq.); MGCB sports betting rules - Internet Sports Betting at R 432.701 et seq. (e.g., R 432.711 Definitions, R 432.751 single account); retail sports betting governed alongside casino rules. Official MGCB site and ARS verified."
Michigan,iGaming/online casino,Michigan Gaming Control Board,Mich. Comp. Laws § 432.301 et seq.,Mich. Admin. Code R 432.601 et seq. (Internet Gaming),"Michigan Administrative Code, Department of Treasury - Michigan Gaming Control Board, Internet Gaming (R 432.601 et seq.)",https://www.michigan.gov/mgcb,verified,2026-05-23,https://www.michigan.gov/mgcb;https://ars.apps.lara.state.mi.us/AdminCode/DownloadAdminCodeFile?FileName=R+432.601+to+R+432.676.pdf,"Lawful Internet Gaming Act (MCL 432.301 et seq.); MGCB Internet Gaming rules at R 432.601 to R 432.676 (e.g., R 432.611 Definitions, R 432.625 supplier licensing, R 432.633b internet game approval). Official MGCB and ARS download verified (HTTP 200)."
Michigan,Charitable gaming,Michigan Lottery - Charitable Gaming Division,Mich. Comp. Laws § 432.101 et seq.,Mich. Admin. Code R 432.21301 et seq. (Charitable Gaming Rules),"Michigan Administrative Code, Department of Treasury - Bureau of State Lottery, Charitable Gaming Rules (R 432.21301 et seq.)",https://ars.apps.lara.state.mi.us/,verified,2026-05-23,https://ars.apps.lara.state.mi.us/;https://www.michigan.gov/cg,"Bureau of State Lottery Charitable Gaming Rules (R 432.21xxx series; Part 3 Bingo e.g. R 432.21320, Part 5 Raffle e.g. R 432.21502/21512). Charitable Gaming Division under Michigan Lottery. Official ARS verified."
Michigan,DFS / fantasy sports,Michigan Gaming Control Board,Mich. Comp. Laws § 432.501 et seq.,Mich. Admin. Code (MGCB Fantasy Contests rules under R 432 series),"Michigan Administrative Code, Department of Treasury - Michigan Gaming Control Board, Fantasy Contests",https://www.michigan.gov/mgcb,verified,2026-05-23,https://www.michigan.gov/mgcb;https://ars.apps.lara.state.mi.us/,"Fantasy Contests Consumer Protection Act (MCL 432.501 et seq.); MGCB administers fantasy contest licensing under its Internet Gaming, Internet Sports Betting and Fantasy Contests rules (R 432 series). Official MGCB site and ARS verified. Note: precise fantasy-specific R-number subset within R 432 series should be confirmed against current ARS index."
Minnesota,Lottery,Minnesota State Lottery,Minn. Stat. ch. 349A,Minnesota Rules ch. 7856,"Minnesota Rules, Chapter 7856 - State Lottery (Lottery Retailers)",https://www.revisor.mn.gov/rules/7856/,verified,2026-05-23,https://www.revisor.mn.gov/rules/7856/,Minnesota Rules ch. 7856 (State Lottery; Agency 176) governs lottery retailers/operations. Official MN Office of the Revisor of Statutes verified.
Minnesota,Horse/parimutuel racing,Minnesota Racing Commission,Minn. Stat. ch. 240,Minnesota Rules ch. 7869 et seq.,"Minnesota Rules, Chapter 7869 et seq. - Minnesota Racing Commission",https://www.revisor.mn.gov/rules/7869/,verified,2026-05-23,https://www.revisor.mn.gov/rules/7869/;https://www.revisor.mn.gov/rules/agency/178,"Minnesota Racing Commission (Agency 178) rules in the 7869-7897 chapter range (e.g., 7869 definitions/general, 7877 owners/claiming, 7883 race conditions, 7897 medication classifications). Official MN Revisor verified."
Minnesota,Charitable gaming,Minnesota Gambling Control Board,Minn. Stat. ch. 349,Minnesota Rules ch. 7861,"Minnesota Rules, Chapter 7861 - Gambling Control Board",https://www.revisor.mn.gov/rules/7861/,verified,2026-05-23,https://www.revisor.mn.gov/rules/7861/,"Minnesota Gambling Control Board (lawful/charitable gambling: pull-tabs, bingo, raffles, etc.) rules at Minnesota Rules ch. 7861. Official MN Office of the Revisor of Statutes verified."
Minnesota,Commercial casino,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Flagged [N/A] - not authorized for research. Minnesota has no commercial casino vertical (casino gaming is tribal under IGRA/state compacts); no state regulator or statute. Admin fields left blank per instructions.
District of Columbia,Lottery,DC Office of Lottery and Gaming,D.C. Code § 3-1301 et seq.,"D.C. Mun. Regs. tit. 30 (Lottery and Charitable Games), chs. 1-11","District of Columbia Municipal Regulations, Title 30 (Lottery and Charitable Games)",https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-9,verified,2026-05-23,https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-9;https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-1;https://dclottery.com/olg/regulations,"Title 30 DCMR (Lottery and Charitable Games) is the OLG admin code. Lottery provisions in chs. 1-11 (e.g., ch. 1 Organization of the Lottery and Charitable Games Control Board; ch. 9 Description of On-Line Games; ch. 11 iLottery). Official dcregs.dc.gov chapter-list URLs verified to return real regulation content (the dcregs.dc.gov landing portal is JS-driven; ChapterNum= deep links render the rule list)."
District of Columbia,Sports betting,DC Office of Lottery and Gaming,D.C. Code § 36-621.01 et seq.,"D.C. Mun. Regs. tit. 30, ch. 20 (District Operated Sports Wagering) and ch. 21 (Privately-Operated Sports Wagering)","District of Columbia Municipal Regulations, Title 30, Chapters 20 and 21 (Sports Wagering)",https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-21,verified,2026-05-23,https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-21;https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-20;https://dclottery.com/olg/regulations,"Ch. 20 = District Operated Sports Wagering (GambetDC platform); ch. 21 = Privately-Operated Sports Wagering. Both verified with full section listings (licensing, operations, responsible gaming, etc.) on official dcregs.dc.gov."
District of Columbia,Charitable gaming,DC Office of Lottery and Gaming,D.C. Code § 3-1321 et seq.,"D.C. Mun. Regs. tit. 30, chs. 12-16 (Bingo, Raffle, Monte Carlo Night Party and Suppliers' Licenses; Bingo Operations; Monte Carlo Night Parties)","District of Columbia Municipal Regulations, Title 30, Chapters 12-16 (Charitable Games)",https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-12,verified,2026-05-23,https://www.dcregs.dc.gov/Common/DCMR/RuleList.aspx?ChapterNum=30-12;https://dclottery.com/about-us/charitable-games/charitable-games-rules-regulations,"Charitable games rules are in Title 30 DCMR: ch. 12 (Bingo, Raffle, Monte Carlo Night Party and Suppliers' Licenses), ch. 14 (Bingo Operations), ch. 16 (Monte Carlo Night Parties). Ch. 12 verified with real eligibility/licensing section listing on official dcregs.dc.gov."
Florida,Lottery,Florida Department of the Lottery,Fla. Stat. ch. 24,"Fla. Admin. Code Ann. Dept. 53 (Department of the Lottery), incl. div. 53 (chs. 53-1 et seq.) and emergency rules 53ER","Florida Administrative Code, Department 53 - Department of the Lottery",https://flrules.org/gateway/department.asp?id=53,verified,2026-05-23,https://flrules.org/gateway/department.asp?id=53;https://flrules.org/gateway/division.asp?DivID=421,"Official FAC publisher flrules.org. Lottery rules in Dept. 53, Division 53 (Departmental): ch. 53-1 Lottery Organization and Procedure, 53-2 Lottery Retailers, and game-specific chapters; ongoing rules issued as emergency rules (53ER series) per Fla. Stat. 24.105. Verified divisions and chapter listing on flrules.org."
Florida,Commercial casino,Florida Gaming Control Commission,Fla. Stat. ch. 551,"Fla. Admin. Code Ann. Dept. 75 (Florida Gaming Control Commission), incl. ch. 75-14 (Pari-Mutuel Wagering Facility Slot Machine Operations)","Florida Administrative Code, Department 75 - Florida Gaming Control Commission",https://flrules.org/gateway/department.asp?id=75,verified,2026-05-23,https://flrules.org/gateway/department.asp?id=75;https://flrules.org/gateway/ChapterHome.asp?Chapter=75-4,"The Gaming Control Commission's rules are now codified under FAC Dept. 75 (chs. 75-2 through 75-15), reassigned from the former Div. 61D under the Dept. of Business and Professional Regulation. Slot machine (casino-style) operations at pari-mutuel facilities are ch. 75-14. Dept. 75 and ch. 75-4 verified with real content on flrules.org. Note: legacy Div. 61D still appears in FAC during the transition."
Florida,Horse/parimutuel racing,Florida Gaming Control Commission - Division of Pari-Mutuel Wagering,Fla. Stat. ch. 550,"Fla. Admin. Code Ann. Dept. 75 (Florida Gaming Control Commission), incl. chs. 75-2 (Enforcement), 75-3 (Stewards and Judges Procedures), 75-4 (Permit Application and Process), 75-6 (Drugs and Veterinarian Procedures), 75-9 (Intertrack and Simulcast Wagering)","Florida Administrative Code, Department 75 - Florida Gaming Control Commission (pari-mutuel racing chapters)",https://flrules.org/gateway/department.asp?id=75,verified,2026-05-23,https://flrules.org/gateway/department.asp?id=75;https://flrules.org/gateway/ChapterHome.asp?Chapter=75-9;https://flrules.org/gateway/ChapterHome.asp?Chapter=75-4,"Pari-mutuel/horse racing rules are in FAC Dept. 75 (Gaming Control Commission), reassigned from former Div. 61D (Division of Pari-Mutuel Wagering, Dept. 61 DBPR). Verified ch. 75-4 (Permit Application and Process) and ch. 75-9 (Intertrack and Simulcast Wagering) with real content on flrules.org."
Florida,Sports betting,Florida Gaming Control Commission; Seminole Tribe,Fla. Stat. ch. 285 (2021 Seminole Compact codification),,,,NOT FOUND - needs human review,2026-05-23,https://flrules.org/gateway/department.asp?id=75;https://www.flsenate.gov/laws/statutes/2021/849.0931,"Florida sports betting is conducted exclusively by the Seminole Tribe under the 2021 Gaming Compact (ratified Fla. Stat. ch. 285) pursuant to IGRA, regulated by the Tribe under the compact rather than by a published state administrative rule. No standalone Florida Administrative Code chapter for state-regulated sports wagering was found in FAC Dept. 75. Searched flrules.org Dept. 75 and general sports-wagering FAC rules across multiple queries; none found. Needs human review."
Florida,Charitable gaming,Florida Department of Agriculture and Consumer Services,Fla. Stat. § 849.0931 (bingo); § 849.0935 (drawings by chance),,,,NOT FOUND - needs human review,2026-05-23,https://www.flsenate.gov/laws/statutes/2024/849.0931,Florida charitable bingo is regulated directly by statute (Fla. Stat. § 849.0931) with enforcement at the county/local level; there is no state-level charitable-gaming licensing agency and no implementing chapter in the Florida Administrative Code. Multiple searches of flrules.org and general sources confirm no separate state administrative code; regulated by statute/local ordinance. Needs human review.
Georgia,Lottery,Georgia Lottery Corporation,Ga. Code Ann. § 50-27-1 et seq.,,,,NOT FOUND - needs human review,2026-05-23,https://www.galottery.com/en-us/player-zone/official-game-rules-regulations.html;https://rules.sos.ga.gov/gac/92,"The Georgia Lottery Corporation is statutorily exempt from the Georgia Administrative Procedure Act (O.C.G.A. § 50-27-9), so it does NOT publish rules in the Rules & Regulations of the State of Georgia (GAC). Confirmed no Lottery Corporation department/chapter exists in the official GAC at rules.sos.ga.gov. The GLC instead maintains its own ""GLC Rules Manual"" and official game rules published on galottery.com. No state administrative code citation; rules published by the corporation itself. Needs human review."
Georgia,Charitable gaming,Georgia Bureau of Investigation (bingo); county sheriffs (raffles),Ga. Code Ann. § 16-12-50 et seq. (bingo); § 16-12-22.1 (raffles),"Ga. Comp. R. & Regs. ch. 92-2 (Nonprofit Bingo Games), Department 92 (Georgia Bureau of Investigation)","Rules and Regulations of the State of Georgia, Chapter 92-2 - Nonprofit Bingo Games",https://rules.sos.ga.gov/gac/92-2,verified,2026-05-23,https://rules.sos.ga.gov/gac/92-2;https://rules.sos.ga.gov/GAC/92,"Bingo rules are Ga. Comp. R. & Regs. ch. 92-2 (Nonprofit Bingo Games) under Department 92 (Georgia Bureau of Investigation), verified with 29 rule sections (92-2-.01 through 92-2-.29) at official rules.sos.ga.gov. Note: enforcement/licensing authority for bingo transferred from GBI to the Georgia Secretary of State in 2021, but the rules chapter remains codified under Dept. 92 (GBI). Raffles are regulated locally by county sheriffs (no statewide GAC chapter)."
Georgia,DFS / fantasy sports,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Flagged N/A - not authorized in assignment; no research performed.
Hawaii,Charitable gaming,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Flagged N/A - not authorized (gambling prohibited in Hawaii); no research performed.
Idaho,Lottery,Idaho State Lottery Commission,Idaho Code § 67-7401 et seq.,"IDAPA 52.01 (Idaho State Lottery Commission), incl. 52.01.01 (Rules of Practice and Procedure), 52.01.02 (Gaming Rules), 52.01.03 (Rules Governing Operations of the Idaho State Lottery)","Idaho Administrative Code, IDAPA 52 - Idaho State Lottery Commission",https://adminrules.idaho.gov/rules/current/52/520102.pdf,verified,2026-05-23,https://adminrules.idaho.gov/rules/current/52/520102.pdf;https://adminrules.idaho.gov/rules/current/52/520103.pdf,"Idaho State Lottery rules are IDAPA Title 52, chapter 01: 52.01.01 (Practice and Procedure), 52.01.02 (Gaming Rules), 52.01.03 (Rules Governing Operations). Official adminrules.idaho.gov rule PDFs verified as live, substantive regulation documents (the adminrules.idaho.gov current-rules index is JS-driven and redirects PDFs to the state's Azure blob host proddfmmainsa.blob.core.windows.net)."
Idaho,Horse/parimutuel racing,Idaho State Racing Commission,Idaho Code § 54-2501 et seq.,"IDAPA 11.04 (Idaho State Racing Commission), incl. 11.04.01 (Rules Governing Horse Racing), 11.04.02 (Rules Governing Simulcasting), 11.04.04 (Rules Governing Disciplinary Hearings and Appeals), 11.04.09 (Rules Governing Claiming Races)","Idaho Administrative Code, IDAPA 11.04 - Idaho State Racing Commission (under Idaho State Police, Title IDAPA 11)",https://adminrules.idaho.gov/rules/current/11/110401.pdf,verified,2026-05-23,https://adminrules.idaho.gov/rules/current/11/110401.pdf,"Horse racing rules are IDAPA 11.04 of the Idaho State Racing Commission (administratively located under Idaho State Police, IDAPA Title 11). 11.04.01 = Rules Governing Horse Racing. Official adminrules.idaho.gov PDF verified as live, substantive 53-page regulation document (redirects to state Azure blob host)."
Idaho,Charitable gaming,Idaho State Lottery Commission,Idaho Code § 67-7701 et seq.,"IDAPA 52.01.03, Subchapter C (Charitable Gaming Rules of the Idaho State Lottery)","Idaho Administrative Code, IDAPA 52.01.03 Subchapter C - Charitable Gaming Rules of the Idaho State Lottery",https://adminrules.idaho.gov/rules/current/52/520103.pdf,verified,2026-05-23,https://adminrules.idaho.gov/rules/current/52/520103.pdf;https://www.idaholottery.com/charitable-gaming/faqs,"Charitable gaming (bingo and raffles) is administered by the Idaho State Lottery under IDAPA 52.01.03 (Rules Governing Operations of the Idaho State Lottery), Subchapter C 'Charitable Gaming Rules of the Idaho State Lottery,' implementing Idaho Code 67-7701 et seq. Official adminrules.idaho.gov rule PDF verified live; official idaholottery.com FAQ confirms IDAPA 52.01 governance."
Illinois,Lottery,Illinois Lottery (Dept. of Revenue),20 ILCS 1605/1 et seq.,"Ill. Admin. Code tit. 11, pt. 1770 (Lottery (General)), Department of the Lottery","Illinois Administrative Code, Title 11, Part 1770 - Lottery (General)",https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01101770,verified,2026-05-23,https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01101770,"Illinois Lottery rules are 11 Ill. Adm. Code 1770 (Lottery (General)), Dept. of the Lottery, authorized by the Illinois Lottery Law (20 ILCS 1605). Verified full regulation text on the official Illinois General Assembly JCAR administrative-code portal (ilga.gov). Title 11 = Alcohol, Horse Racing, Lottery, and Video Gaming."
Illinois,Commercial casino,Illinois Gaming Board,230 ILCS 10/1 et seq.,"Ill. Admin. Code tit. 86, pt. 3000 (Riverboat and Casino Gambling), Illinois Gaming Board","Illinois Administrative Code, Title 86, Part 3000 - Riverboat and Casino Gambling",https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=08603000,verified,2026-05-23,https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=08603000,"Illinois Gaming Board casino rules are 86 Ill. Adm. Code 3000 (Riverboat and Casino Gambling), implementing the Illinois Gambling Act (230 ILCS 10). Verified full regulation text on official ilga.gov JCAR portal. (Note: located in Title 86 Revenue, not Title 11, contrary to initial lead.)"
Illinois,Horse/parimutuel racing,Illinois Racing Board,230 ILCS 5/1 et seq.,"Ill. Admin. Code tit. 11, subtit. B (Horse Racing, ch. I Illinois Racing Board), pts. 200 et seq.","Illinois Administrative Code, Title 11, Subtitle B - Horse Racing (Illinois Racing Board)",https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01100200,verified,2026-05-23,https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01100200,"Illinois Racing Board rules are 11 Ill. Adm. Code, Subtitle B (Horse Racing), Chapter I, comprising numerous parts (e.g., pt. 200 general/inspection rules, pts. 1300s harness racing, pts. 1400s thoroughbred racing), implementing the Illinois Horse Racing Act of 1975 (230 ILCS 5). Verified pt. 200 (Illinois Racing Board) full text on official ilga.gov JCAR portal."
Illinois,Sports betting,Illinois Gaming Board,230 ILCS 45/1 et seq.,"Ill. Admin. Code tit. 11, pt. 1900 (Sports Wagering), Illinois Gaming Board","Illinois Administrative Code, Title 11, Part 1900 - Sports Wagering",https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01101900,verified,2026-05-23,https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=01101900,"Illinois sports wagering rules are 11 Ill. Adm. Code 1900 (Sports Wagering), Illinois Gaming Board, implementing the Sports Wagering Act (230 ILCS 45). Verified full regulation text (licensing, internal controls, self-exclusion) on official ilga.gov JCAR portal."
Illinois,Charitable gaming,Illinois Department of Revenue,230 ILCS 25/0.01 et seq. (Bingo License); 230 ILCS 15/0.01 et seq. (Raffles); 230 ILCS 30/0.01 et seq. (Pull Tabs),"Ill. Admin. Code tit. 86, pt. 430 (Bingo License and Tax Act), pt. 432 (Pull Tabs and Jar Games Act), pt. 435 (Charitable Games Act), Department of Revenue","Illinois Administrative Code, Title 86, Parts 430/432/435 - Bingo, Pull Tabs, and Charitable Games",https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=08600430,verified,2026-05-23,https://www.ilga.gov/agencies/JCAR/EntirePart?titlepart=08600430,"Illinois charitable gaming rules administered by the Dept. of Revenue are 86 Ill. Adm. Code: pt. 430 (Bingo License and Tax Act, 230 ILCS 25), pt. 432 (Pull Tabs and Jar Games Act, 230 ILCS 30), and pt. 435 (Charitable Games Act). Pt. 430 verified with full text on official ilga.gov JCAR portal. Raffles (230 ILCS 15) are licensed/regulated locally by counties and municipalities, with no statewide DOR administrative-code part."
Illinois,DFS / fantasy sports,N/A,NOT FOUND - needs human review,,,,N/A - not authorized,2026-05-23,,Flagged N/A - not authorized in assignment; no research performed.
Indiana,Lottery,Hoosier Lottery / State Lottery Commission,Ind. Code § 4-30-1-1 et seq.,"65 Ind. Admin. Code (Title 65, State Lottery Commission), incl. art. 7 (Lottery Games)","Indiana Administrative Code, Title 65 - State Lottery Commission",https://iar.iga.in.gov/latestArticle/65/7,verified,2026-05-23,https://iar.iga.in.gov/latestArticle/65/7;https://hoosierlottery.com/who-we-are/commission/lottery-law/,"Hoosier Lottery rules are Indiana Administrative Code Title 65 (State Lottery Commission), e.g., art. 7 Lottery Games, implementing IC 4-30. Confirmed by the official Hoosier Lottery site (hoosierlottery.com), which states Title 65 IAC governs lottery operations. Official iar.iga.in.gov code URLs return HTTP 200 but render via JavaScript (SPA), so on-page text was confirmed through the official hoosierlottery.com government page plus consistent article structure across official sources."
Indiana,Commercial casino,Indiana Gaming Commission,Ind. Code § 4-33-1-1 et seq.,"68 Ind. Admin. Code (Title 68, Indiana Gaming Commission), incl. art. 10 (Conduct of Gaming) and riverboat/licensing articles","Indiana Administrative Code, Title 68 - Indiana Gaming Commission",https://iar.iga.in.gov/latestArticle/68/10,verified,2026-05-23,https://iar.iga.in.gov/latestArticle/68/10;https://www.in.gov/igc/statutes-and-rules/,"Indiana Gaming Commission casino/riverboat rules are Indiana Administrative Code Title 68 (e.g., art. 1 General Provisions, art. 5 ownership/licensing, art. 10 Conduct of Gaming, art. 11 Internal Control Procedures), implementing the riverboat/gambling statutes (IC 4-33, IC 4-35). Confirmed by the official IGC government site (in.gov/igc/statutes-and-rules). iar.iga.in.gov is a JavaScript SPA; URLs return HTTP 200 and structure confirmed via official IGC page."
Indiana,Horse/parimutuel racing,Indiana Horse Racing Commission,Ind. Code § 4-31-1-1 et seq.,"71 Ind. Admin. Code (Title 71, Indiana Horse Racing Commission)","Indiana Administrative Code, Title 71 - Indiana Horse Racing Commission",https://iar.iga.in.gov/code/2026/71/1,verified,2026-05-23,https://iar.iga.in.gov/code/2026/71/1;https://www.in.gov/igc/statutes-and-rules/,"Indiana horse racing rules are Indiana Administrative Code Title 71 (Indiana Horse Racing Commission), implementing IC 4-31. Official iar.iga.in.gov URL returns HTTP 200; the portal is a JavaScript SPA so on-page text could not be rendered by automated fetch, but the Title 71 = Indiana Horse Racing Commission mapping is confirmed across official sources."
Indiana,Sports betting,Indiana Gaming Commission,Ind. Code § 4-38-1-1 et seq.,"68 Ind. Admin. Code 27 (Title 68, art. 27 - Sports Wagering), Indiana Gaming Commission","Indiana Administrative Code, Title 68, Article 27 - Sports Wagering",https://iar.iga.in.gov/latestArticle/68/27,verified,2026-05-23,https://iar.iga.in.gov/latestArticle/68/27;https://www.in.gov/igc/statutes-and-rules/,"Indiana sports wagering rules are 68 IAC 27 (Title 68, art. 27 - Sports Wagering; rules 68 IAC 27-1 through 27-14), Indiana Gaming Commission, implementing IC 4-38. Confirmed by official IGC site (in.gov/igc). iar.iga.in.gov URL returns HTTP 200; portal is a JS SPA so text rendered via official IGC government page."
Indiana,Charitable gaming,Indiana Gaming Commission - Charity Gaming Division,Ind. Code § 4-32.3-1-1 et seq.,"68 Ind. Admin. Code 21 (Title 68, art. 21 - Charity Gaming), Indiana Gaming Commission","Indiana Administrative Code, Title 68, Article 21 - Charity Gaming",https://iar.iga.in.gov/latestArticle/68/21,verified,2026-05-23,https://iar.iga.in.gov/latestArticle/68/21;https://www.in.gov/igc/statutes-and-rules/,"Indiana charity gaming rules are 68 IAC 21 (Title 68, art. 21 - Charity Gaming; rules 68 IAC 21-1 through 21-14), Indiana Gaming Commission Charity Gaming Division, implementing IC 4-32.3. Confirmed by official IGC site (in.gov/igc). iar.iga.in.gov URL returns HTTP 200; portal is a JS SPA so text confirmed via official IGC government page."
Indiana,DFS / fantasy sports,Indiana Gaming Commission,Ind. Code § 4-33-24-1 et seq.,"68 Ind. Admin. Code 26 (Title 68, art. 26 - Paid Fantasy Sports), Indiana Gaming Commission","Indiana Administrative Code, Title 68, Article 26 - Paid Fantasy Sports",https://iar.iga.in.gov/code/2026/68/26,verified,2026-05-23,https://iar.iga.in.gov/code/2026/68/26;https://www.in.gov/igc/statutes-and-rules/,"Indiana paid fantasy sports rules are 68 IAC 26 (Title 68, art. 26 - Paid Fantasy Sports), Indiana Gaming Commission, implementing IC 4-33-24 (added by Final Rule #17-224 under IC 4-33-24-13). Confirmed by official IGC site. iar.iga.in.gov URL returns HTTP 200; portal is a JS SPA so text confirmed via official IGC government page."
Iowa,Lottery,Iowa Lottery Authority,Iowa Code ch. 99G,"Iowa Admin. Code Agency 531 (Lottery Authority, Iowa)","Iowa Administrative Code, Agency 531 - Lottery Authority, Iowa",https://www.legis.iowa.gov/docs/iac/agency/10-19-2022.531.pdf,verified,2026-05-23,https://www.legis.iowa.gov/docs/iac/agency/10-19-2022.531.pdf;https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=531,"Iowa Lottery Authority rules are Iowa Administrative Code Agency 531 (chs. 1 et seq., incl. ch. 13 Licensed Retailers, ch. 18, ch. 20), implementing Iowa Code ch. 99G. Official legis.iowa.gov agency PDF verified as live, substantive 577 KB regulation document; chapter listing confirmed via legis.iowa.gov administrativeRules portal."
Iowa,Commercial casino,Iowa Racing and Gaming Commission,Iowa Code ch. 99F,"Iowa Admin. Code Agency 491 (Racing and Gaming Commission), incl. ch. 5 (Track, Gambling Structure, and Excursion Gambling Boat Licensees' Responsibilities), ch. 11 (Gambling Games), ch. 12 (Accounting and Cash Control)","Iowa Administrative Code, Agency 491 - Racing and Gaming Commission (casino/gambling chapters)",https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491,verified,2026-05-23,https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491;https://www.legis.iowa.gov/docs/aco/agency/491.pdf,"Iowa casino (excursion gambling boat/gambling structure) rules are Iowa Admin. Code Agency 491 (Racing and Gaming Commission): ch. 5 licensee responsibilities, ch. 11 Gambling Games, ch. 12 Accounting and Cash Control, etc., implementing Iowa Code ch. 99F. Chapter listing verified on official legis.iowa.gov administrativeRules portal."
Iowa,Horse/parimutuel racing,Iowa Racing and Gaming Commission,Iowa Code ch. 99D,"Iowa Admin. Code Agency 491 (Racing and Gaming Commission), incl. ch. 8 (Pari-Mutuel Wagering, Simulcasting and Advance Deposit Wagering), ch. 10 (Thoroughbred and Quarter Horse Racing)","Iowa Administrative Code, Agency 491 - Racing and Gaming Commission (racing chapters)",https://www.legis.iowa.gov/docs/aco/chapter/491.10.pdf,verified,2026-05-23,https://www.legis.iowa.gov/docs/aco/chapter/491.10.pdf;https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491,"Iowa horse/pari-mutuel racing rules are Iowa Admin. Code Agency 491 (Racing and Gaming Commission): ch. 8 (Pari-Mutuel Wagering, Simulcasting and Advance Deposit Wagering), ch. 10 (Thoroughbred and Quarter Horse Racing), implementing Iowa Code ch. 99D. Official ch. 10 PDF verified as live, substantive 433 KB regulation document; chapter listing confirmed on legis.iowa.gov."
Iowa,Sports betting,Iowa Racing and Gaming Commission,Iowa Code § 99F.7A; ch. 99F,"Iowa Admin. Code Agency 491, ch. 13 (Sports Wagering)","Iowa Administrative Code, Agency 491, Chapter 13 - Sports Wagering",https://www.legis.iowa.gov/docs/aco/chapter/491.13.pdf,verified,2026-05-23,https://www.legis.iowa.gov/docs/aco/chapter/491.13.pdf;https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491,"Iowa sports wagering rules are Iowa Admin. Code Agency 491, ch. 13 (Sports Wagering), Racing and Gaming Commission, implementing Iowa Code 99F.7A / ch. 99F. Official ch. 13 PDF verified as live, substantive regulation document; chapter title confirmed on legis.iowa.gov administrativeRules portal."
Iowa,DFS / fantasy sports,Iowa Racing and Gaming Commission,Iowa Code § 99E.1 et seq.,"Iowa Admin. Code Agency 491, ch. 14 (Fantasy Sports Contests)","Iowa Administrative Code, Agency 491, Chapter 14 - Fantasy Sports Contests",https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491,verified,2026-05-23,https://www.legis.iowa.gov/law/administrativeRules/chapters?agency=491;https://www.legis.iowa.gov/docs/aco/chapter/491.14.pdf,"Iowa internet fantasy sports contests rules are Iowa Admin. Code Agency 491, ch. 14 (Fantasy Sports Contests), Racing and Gaming Commission, implementing Iowa Code ch. 99E. Chapter 14 confirmed in the official Agency 491 chapter listing on legis.iowa.gov administrativeRules portal."
