jurisdiction,program_name,program_type,administering_body,verticals_covered,enrollment_method,duration_options,removal_process,official_url,is_nvsep,idpair_flag,verification_status,retrieval_date,source_urls,notes
Idaho,No state self-exclusion for Idaho horse/parimutuel racing,property-by-property,Idaho State Racing Commission,horse-racing-live-simulcast-ADW,none,none,none,https://isp.idaho.gov/racing/,no,no,verified,2026-05-23,https://isp.idaho.gov/racing/ | https://adminrules.idaho.gov/rules/current/11/110401.pdf,Idaho Racing Commission RG page references NCPG helpline only; no voluntary self-exclusion rule found in IDAPA 11. HHR banned since 2015. ADW is licensed and active; individual ADW operators (TVG/FanDuel Racing etc.) may offer account-level self-exclusion per NTRA best practices but no IRB-mandated central program exists.
Idaho,No self-exclusion for Idaho charitable gaming (bingo/raffles),none,Idaho Lottery (charitable gaming division),charitable-gaming-bingo-raffles,none,none,none,https://www.idaholottery.com/charitable-gaming/faqs,no,no,verified,2026-05-23,https://www.idaholottery.com/charitable-gaming/faqs | https://www.idaholottery.com/charitable-gaming/code-and-rules,Idaho Lottery regulates bingo and raffles only (poker runs/casino nights prohibited). Charitable gaming FAQ and rules pages contain no responsible-gaming or self-exclusion content. No self-exclusion program of any kind applies to charitable gaming in Idaho.
Illinois,Illinois Gaming Board Self-Exclusion Program (SEP),state-run,Illinois Gaming Board (IGB),Commercial casino;Sports betting (retail and online),In person at any IGB office located at Illinois casinos; no appointment required; takes approx. 30-45 minutes,Lifetime (only option per IGB; after 5 years may request removal),"After minimum 5 years, must submit affidavit/letter from licensed mental health professional / certified gambling addiction counselor or psychiatrist attesting person no longer is a problem gambler",https://igb.illinois.gov/help-for-problem-gamblers/self-exclusion-program.html,no,no,verified,2026-05-23,https://igb.illinois.gov/help-for-problem-gamblers/self-exclusion-program.html;https://igb.illinois.gov/help-for-problem-gamblers/frequently-asked-questions--faqs-.html,"IGB SEP established 2002; expanded to include sports wagering June 2019. As of March 2025, 15,613 individuals on SEP list. Video gaming terminals (VGTs) NOT currently in scope; IGB solicited public comment Jan 2025 on proposed expansion to VGTs; rule not yet adopted as of research date. Exclusion also extends to Caesar's and Boyd Gaming properties nationwide."
Illinois,Illinois Lottery Voluntary Self-Exclusion Program,state-run,Illinois Department of the Lottery,Lottery (online and in-store retail),Mail or in-person delivery of signed and notarized Voluntary Self-Exclusion Agreement to Illinois Lottery Claims Unit; form available at any Lottery office or downloaded from illinoislottery.com; also by calling 1-800-252-1775,Minimum 5 years (exclusion from online play); program covers both online and in-store,No reinstatement process described; minimum 5-year term,https://www.illinoislottery.com/about-the-games/responsible-and-safe-play/where-to-get-help,no,no,verified,2026-05-23,https://www.illinois.gov/news/press-release.6345.html;https://www.ilga.gov/ftp/JCAR/AdminCode/011/011017700002400R.html;https://www.illinoislottery.com/about-the-games/responsible-and-safe-play/where-to-get-help,Illinois Lottery VSE Agreement covers both online and in-store lottery play. Self-excluded persons are removed from marketing lists and denied prize payments over $600 at lottery payment centers. Governed by Ill. Admin. Code tit. 11 § 1770.240. Signed agreement must be notarized.
Illinois,No voluntary self-exclusion for Illinois horse/parimutuel racing (IRB),none,Illinois Racing Board,horse-racing-live-simulcast-ADW,none,none,none,https://irb.illinois.gov/,no,no,verified,2026-05-23,https://irb.illinois.gov/ | https://www.law.cornell.edu/regulations/illinois/Ill-Admin-Code-tit-11-SS-1322.80 | https://igb.illinois.gov/help-for-problem-gamblers/self-exclusion-program.html,11 Ill. Adm. Code 1322.80 is involuntary track-initiated exclusion (notification to IRB and USTA); it is NOT a voluntary self-exclusion program. IGB SEP covers casinos and sports wagering only — horse racing and ADW are explicitly outside IGB jurisdiction. IRB website lists no voluntary SE program. ADW operators may offer individual account-level limits but no IRB-mandated central program.
Illinois,idPair/Coalition for Fantasy Sports DFS Self-Exclusion (all-operator; all-50-states),property-by-property,Coalition for Fantasy Sports / idPair,DFS,online via participating operator platforms,not specified — permanent excluded until removal requested,not specified,https://coalitionforfantasysports.com/idpair,no,yes,verified,2026-05-23,https://coalitionforfantasysports.com/idpair | https://coalitionforfantasysports.com/idpair-expansion | https://www.saturdaydownsouth.com/news/dfs/idpair-dfs-operators-launch-first-50-state-national-self-exclusion-program/,CFS/idPair expanded DFS self-exclusion to all 50 states March 2026. Illinois was included in earlier Aug-2025 expansion to 15 states. Operators: PrizePicks; Underdog; Betr; Dabble; Splash Sports. No IL state-run DFS program exists (IL DFS is legal but unregulated per 2020 IL Supreme Court; IGB issued C&Ds to pick-em operators 2025). idpair_flag=yes; is_nvsep=no (this is CFS/idPair program not NVSEP). Enrollment through individual operator platforms.
Indiana,Indiana Gaming Commission Voluntary Exclusion Program (VEP),state-run,Indiana Gaming Commission (IGC),Commercial casino;Horse/parimutuel racing (off-track betting facilities);Sports betting (retail sportsbooks),In person at any Indiana casino or IGC Indianapolis office; with a designated problem gambling treatment provider; or online via IGC website with identity verification,One year; five years; lifetime,"Upon expiration of selected term, request removal via form at IGC office, Indiana casino location, by US mail, or online on IGC website",https://www.in.gov/igc/voluntary-exclusion-program/,yes,yes,verified,2026-05-23,https://www.in.gov/igc/voluntary-exclusion-program/;https://secure.in.gov/apps/igc/selfexclusion/vep/enrollment;https://www.nvsep.org/indiana,"VEP effective July 1, 2004. Covers all Indiana casinos and off-track betting facilities. Sports wagering certificates added per Sports Wagering Act. Note: VEP covers retail sports wagering; online sports wagering has a separate Internet Self-Restriction Program (ISRP). NVSEP page exists at nvsep.org/indiana — Indiana participates in NVSEP/idPair program."
Indiana,Indiana Gaming Commission Internet Self-Restriction Program (ISRP),state-run,Indiana Gaming Commission (IGC),Sports betting (online/mobile),Online via IGC website at in.gov/igc with identity verification,One year; five years,"Upon expiration of term, request removal at IGC office, Indiana casino, by US mail, or online on IGC website",https://www.in.gov/igc/internet-self-restriction-program/,no,no,verified,2026-05-23,https://www.in.gov/igc/internet-self-restriction-program/;https://www.in.gov/igc/internet-self-restriction-program/isrp-program-summary/,ISRP created under Indiana Code 4-38; applies ONLY to mobile/online sports wagering. Does not cover land-based casino. Operators required to stop all direct marketing to ISRP participants and cancel wagers. Separate from the VEP (which covers retail sports and casino).
Indiana,Indiana — NVSEP / idPair National Program,national-NVSEP,idPair / NVSEP,Commercial casino;Sports betting;Horse/parimutuel racing,Online via nvsep.org; assists with Indiana IGC VEP enrollment process,Mirrors IGC VEP options (1 year; 5 years; lifetime),Mirrors IGC VEP removal process,https://www.nvsep.org/indiana,yes,yes,verified,2026-05-23,https://www.nvsep.org/indiana,NVSEP has a dedicated Indiana page (nvsep.org/indiana). Provides free digital assistance with Indiana IGC VEP enrollment. Verified as a participating NVSEP jurisdiction.
Indiana,No self-exclusion program for Hoosier Lottery,none,Hoosier Lottery / Indiana State Lottery Commission,lottery-retail,none,none,none,https://www.hoosierlottery.com/about-us/responsible-gaming/what-you-can-do,no,no,verified,2026-05-23,https://www.hoosierlottery.com/about-us/responsible-gaming/what-you-can-do | https://hoosierlottery.com/about-us/responsible-gaming/what-you-can-do,Keep Play Positive page lists helpline (1-800-994-8448); Track Your Play calculator; Positive Play Quiz; educational videos — but no self-exclusion or account-restriction mechanism. No iLottery in Indiana (HB 1078 failed). WLA Level 4 status but SE not offered.
Indiana,No self-exclusion for Indiana charitable gaming (bingo/raffles/pull tabs),none,Indiana Gaming Commission — Charity Gaming Division,charitable-gaming-bingo-raffles-pulltabs,none,none,none,https://www.in.gov/igc/charity-gaming/,no,no,verified,2026-05-23,https://www.in.gov/igc/charity-gaming/ | https://www.in.gov/igc/voluntary-exclusion-program/,IGC Voluntary Exclusion Program covers Indiana casinos only. Charitable gaming (bingo/raffles/pull tabs) is regulated under IC 4-32.3 separately; IGC charity-gaming page and VEP documentation confirm VEP does not extend to charitable gaming venues. No self-exclusion program exists for charitable gaming.
Indiana,Indiana DFS — operator-level / national NVSEP (CFS operators),national-NVSEP,Coalition for Fantasy Sports / idPair (operator-administered),DFS,"Online via individual DFS operator apps (PrizePicks, Underdog, Dabble, Splash Sports)",Operator terms apply,Operator terms apply,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://sbcamericas.com/2026/03/10/dfs-operators-self-exclusion-program/;https://www.in.gov/igc/sports-wagering-and-paid-fantasy-sports/,"Indiana IGC regulates DFS (Paid Fantasy Sports Division). No state-run DFS self-exclusion program identified. CFS DFS operators (PrizePicks, Underdog, Dabble, Splash Sports) operate all-50-state self-exclusion via idPair/NVSEP effective March 2026."
Iowa,Iowa Statewide Self-Exclusion Program (IRGC),state-run,Iowa Racing and Gaming Commission (IRGC),Commercial casino;Horse/parimutuel racing;Sports betting (retail and online);DFS,In person at IRGC office (by appointment); in person at any licensed casino or racetrack; in person at Iowa Gambling Treatment Provider agency; by mail (notarized form),Five years (auto-expires) or lifetime (irrevocable for enrollments on/after 07/01/2017),Five-year term auto-expires; lifetime enrollees who enrolled before 07/01/2017 may submit written revocation request to IRGC (up to 10 business days processing); post-2017 lifetime enrollments cannot be revoked,https://irgc.iowa.gov/self-exclusion-program,no,no,verified,2026-05-23,https://irgc.iowa.gov/self-exclusion-program;https://irgc.iowa.gov/self-exclusion-program/program-overview;https://irgc.iowa.gov/self-exclusion-program/frequently-asked-questions,"Covers all casino, racetrack, sports wagering, and fantasy sports operators licensed by IRGC per Iowa Code 99D.7(23) and 99F.4(22). Lottery NOT covered — separate Iowa Lottery program required. Charitable gaming (bingo/raffles under DIAL) not covered. NVSEP assists with notarization but Iowa program remains state-run."
Iowa,Iowa Lottery Voluntary Self-Exclusion Program,state-run,Iowa Lottery Authority,Lottery (retail and prize claiming),In person at any Iowa Lottery regional office (notarization required; notaries available on-site),Five years (renewable) or lifetime (irrevocable for agreements signed on/after 07/01/2017),Pre-07/01/2017 lifetime enrollees may submit removal request form to regional office after five years on list; post-2017 lifetime enrollments irrevocable; five-year terms renewable,https://ialottery.com/Pages/Legal/SelfExclusion.aspx,no,no,verified,2026-05-23,https://ialottery.com/Pages/Legal/SelfExclusion.aspx,Separate and distinct from IRGC program. Enrollment bans prize claims over $600 at lottery regional offices and removes enrollee from marketing. Enrollees are not automatically placed on IRGC list; must enroll separately in both programs to cover both lottery and casino/sports verticals.
Iowa,NVSEP — Iowa (idPair self-exclusion assistance),national-NVSEP,idPair (National Voluntary Self-Exclusion Program),Commercial casino;Horse/parimutuel racing;Sports betting (retail and online);DFS,Online via nvsep.org (free remote online notarization provided via approved notary vendor),Matches duration options of the underlying IRGC state program (five years or lifetime),Follows underlying IRGC revocation process; NVSEP facilitates access but does not replace state program,https://www.nvsep.org/iowa,yes,yes,verified,2026-05-23,https://www.nvsep.org/iowa;https://irgc.iowa.gov/self-exclusion-program/frequently-asked-questions;https://www.businesswire.com/news/home/20240618707860/en/National-Voluntary-Self-Exclusion-Program-NVSEP-to-Begin-Free-Self-Exclusion-Assistance-in-Four-US-Jurisdictions,"Iowa was one of four launch states for NVSEP in August 2024 (with CO, MI, TN). idPair provides free remote online notarization to facilitate enrollment in the IRGC statewide program; no changes to Iowa's underlying program terms. NVSEP does not replace the state program; covers same IRGC-regulated verticals (casino/racetrack/sports/DFS). Iowa Lottery vertical not covered by NVSEP."
Iowa,NVSEP DFS All-50-States Program (idPair / PrizePicks / Underdog / Dabble / Splash Sports),national-NVSEP,idPair (with PrizePicks; Underdog; Dabble; Splash Sports — Coalition for Fantasy Sports),DFS,Online via nvsep.org or participating operator apps (single enrollment excludes from all four DFS operators simultaneously),Matches options provided by participating DFS operators,Per participating operator terms,https://www.nvsep.org/,yes,yes,verified,2026-05-23,https://www.nvsep.org/;https://www.saturdaydownsouth.com/news/dfs/idpair-dfs-operators-launch-first-50-state-national-self-exclusion-program/,"Launched March 10, 2026 covering all 50 states including Iowa. Operator-led program via Coalition for Fantasy Sports (CFS). Single enrollment excludes user from PrizePicks, Underdog, Dabble, and Splash Sports. Separate from IRGC's existing DFS coverage. Can expand to additional verticals."
Iowa,No Program — Charitable Gaming,none,Iowa Department of Inspections; Appeals & Licensing (DIAL),Charitable gaming (bingo;raffles;game nights),N/A,N/A,N/A,https://dial.iowa.gov/licenses/gambling-amusement-devices/charitable-gambling,no,no,verified,2026-05-23,https://dial.iowa.gov/licenses/gambling-amusement-devices/charitable-gambling,"Charitable gaming in Iowa (bingo, raffles, game nights) licensed by DIAL, not IRGC. No statewide self-exclusion program identified for charitable gaming. IRGC self-exclusion does not cover charitable gaming venues."
Kansas,Kansas Voluntary Exclusion Program (VEP) — Casinos,state-run,Kansas Racing and Gaming Commission (KRGC),Commercial casino (state-owned destination casinos),In person at KRGC office (Topeka) or at any of the four state-owned Kansas casinos (Boot Hill; Kansas Star; Hollywood Casino at Kansas Speedway; Kansas Crossing),Two years or lifetime,Two-year: after expiration applicant must (1) complete a problem gambling assessment from a Kansas Certified Gambling Counselor and (2) complete healthy lifestyle courses; KRGC makes final determination on removal. Lifetime: no removal.,https://krgc.kansas.gov/problem-gambling/voluntary-exclusion-program/,no,no,verified,2026-05-23,https://krgc.kansas.gov/problem-gambling/voluntary-exclusion-program/;https://krgc.kansas.gov/problem-gambling/how-to-apply/,"Covers the four state-owned destination casinos operated by management contractors under Kansas Lottery oversight: Boot Hill (Dodge City), Kansas Star (Mulvane), Hollywood Casino at Kansas Speedway (Kansas City), Kansas Crossing (Pittsburg). No tribal casinos in Kansas."
Kansas,Kansas Sports Wagering Exclusion Program,state-run,Kansas Racing and Gaming Commission (KRGC),Sports betting (retail and online),Secure document upload via KRGC secure file transfer portal (email to Garrett Rogers for credentials; applicant uploads completed form and government-issued photo ID),NOT FOUND - needs human review,Enrollees must complete exclusion period; no premature removal per program rules,https://krgc.kansas.gov/problem-gambling/sports-wagering-exclusion-program/,no,no,verified,2026-05-23,https://krgc.kansas.gov/problem-gambling/sports-wagering-exclusion-program/,Separate program from the casino VEP. Disables existing sports wagering accounts and prevents creation of new accounts. Specific duration options not confirmed on official page — needs human review to verify full term options.
Kansas,Kansas Lottery iLottery Responsible Gaming / Self-Exclusion,state-run,Kansas Lottery,Lottery (online/iLottery account-based games),Online via Kansas Lottery iLottery account (playonkansas.com),Temporary (account-level break) or permanent account closure,Permanent closure is irreversible; temporary breaks expire per selected term; account-based only (does not affect retail ticket purchases),https://www.kslottery.com/play-responsibly,no,no,verified,2026-05-23,https://www.kslottery.com/play-responsibly;https://playonkansas.com/,Kansas Lottery offers account-level self-exclusion for its iLottery platform; prevents login and online play/promotions. Does NOT prevent purchase of retail lottery tickets at physical stores. No statewide retail lottery self-exclusion program identified. Horse/parimutuel racing self-exclusion under KRGC not separately confirmed; may be covered under VEP — needs human review.
Kansas,No Program — Charitable Gaming,none,Kansas Department of Revenue (bingo),Charitable gaming (bingo),N/A,N/A,N/A,https://www.ksrevenue.gov/bustaxtypesbingo.html,no,no,verified,2026-05-23,https://www.ksrevenue.gov/bustaxtypesbingo.html,Charitable bingo in Kansas licensed by Kansas Department of Revenue. No self-exclusion program identified for charitable gaming. Horse/parimutuel racing self-exclusion — no separate confirmed program found; KRGC VEP focused on state-owned casinos.
Kentucky,Kentucky Horse Racing and Gaming Corporation (KHRC) — Statewide Self-Exclusion List (Horse Racing / HHR),state-run,Kentucky Horse Racing and Gaming Corporation (KHRC/KHRGC),Horse/parimutuel racing;Historical Horse Racing (HHR),At the track (in person); online via operator website; by phone through licensed racing association,Temporary or permanent (specific term lengths not specified in regulation),Request through licensed racing association; KHRC compiles comprehensive list monthly and distributes to all racing associations,https://khrc.ky.gov/,no,no,verified,2026-05-23,https://khrc.ky.gov/;https://www.law.cornell.edu/regulations/kentucky/810-KAR-2-100,"Per 810 KAR 2:100, KHRC maintains a comprehensive statewide self-exclusion list compiled monthly from all licensed racing associations and distributed back to all licensees. Covers gambling at racing tracks and HHR. Separate from sports wagering regulation under 809 KAR."
Kentucky,Kentucky Horse Racing and Gaming Corporation (KHRC) — Statewide Self-Exclusion List (Sports Wagering),state-run,Kentucky Horse Racing and Gaming Corporation (KHRC/KHRGC),Sports betting (retail and online),At licensed retail sportsbook premises; online via licensee-specific website or mobile app; by phone,Temporary or permanent,Each operator submits new exclusions monthly to KHRC via approved portal; KHRC compiles comprehensive list and redistributes to all licensees at least monthly,https://khrc.ky.gov/newstatic_info.aspx?static_ID=694,no,no,verified,2026-05-23,https://khrc.ky.gov/newstatic_info.aspx?static_ID=694;https://apps.legislature.ky.gov/law/kar/titles/809/010/007/REG/,"Per 809 KAR 10:007, KHRC compiles and maintains comprehensive statewide list of voluntarily self-excluded sports wagering patrons. Operator-collected information flows up to KHRC and is redistributed monthly to all licensees. Confidential; exempt from Kentucky Open Records Act. DFS (fantasy contests) not yet formally regulated under a separate KHRC self-exclusion program as of research date (HB 904 2026 overhaul pending/vetoed)."
Kentucky,Kentucky Lottery — Online Self-Exclusion (Fun Club / iLottery),state-run,Kentucky Lottery Corporation,Lottery (online account-based; Fun Club/iLottery),Online via play.kylottery.com account settings,6 months; 1 year; 2 years; 5 years; or permanent closure,Temporary terms auto-expire and account reopens; permanent closure is irreversible; cannot create second account after permanent self-exclusion,https://play.kylottery.com/en-us/myaccount/self-exclusion.html,no,no,verified,2026-05-23,https://play.kylottery.com/en-us/myaccount/self-exclusion.html;https://www.kylottery.com/apps/funclub/content/responsible_gaming.html,"Account-level self-exclusion for Kentucky Lottery online/iLottery platform. Does not cover retail lottery ticket purchases. Does not automatically exclude from KHRC-regulated verticals (sports betting, horse racing)."
Kentucky,No self-exclusion for Kentucky charitable gaming (bingo/raffles),none,Kentucky Horse Racing & Gaming / Office of Charitable Gaming,charitable-gaming-bingo-raffles-pulltabs,none,none,none,https://dcg.ky.gov/,no,no,verified,2026-05-23,https://dcg.ky.gov/ | https://www.kentucky.gov/government/Pages/AgencyProfile.aspx?Title=Department+of+Charitable+Gaming,KY Office of Charitable Gaming (now under KHRG post-HB 904) website contains no reference to self-exclusion or responsible-gaming tools for bingo/raffles. Charitable gaming SE is not enumerated among any KY regulatory program. KY sports-betting and horse-racing SE programs (KHRG) do not extend to charitable gaming.
Louisiana,Louisiana Gaming Control Board — Voluntary Exclusion Program (Casino),state-run,Louisiana Gaming Control Board (LGCB) / Louisiana State Police Gaming Enforcement Division,Commercial casino;Sports betting (retail and online),In person at Louisiana State Police Gaming Enforcement Division location (7901 Independence Blvd; Baton Rouge); by mail (with advance LGCB approval); online enrollment also available per secondary sources,1 year; 5 years; or lifetime,After expiration of five years from date of exclusion; submit written request to LGCB Administrative Hearing Office; Hearing Officer determines whether basis for continued exclusion remains; removal requires recommendation from qualified mental health professional,https://lgcb.dps.louisiana.gov/voluntary-exclusions/,no,no,verified,2026-05-23,https://lgcb.dps.louisiana.gov/voluntary-exclusions/;https://lgcb.dps.louisiana.gov/problem-gambling/,LGCB's voluntary exclusion list covers casino gaming at all LGCB-regulated establishments and sports wagering platforms. Single enrollment effectively covers all casinos and licensed sports wagering operators. In-person enrollment required at Louisiana State Police Gaming Enforcement Division; 1-888-295-8450. Louisiana Lottery has no separate iLottery platform; no lottery self-exclusion program identified.
Louisiana,No Program — Lottery,none,Louisiana Lottery Corporation,Lottery,N/A,N/A,N/A,https://louisianalottery.com/,no,no,verified,2026-05-23,https://louisianalottery.com/;https://louisianalottery.com/frequently-asked-questions/,Louisiana Lottery does not sell tickets online (no iLottery); all sales are in-person at retail. No Louisiana Lottery self-exclusion program identified.
Louisiana,No voluntary self-exclusion program for horse racing/ADW (LGCB exclusion covers casino only; Racing Commission has none),none,Louisiana State Racing Commission,horse/parimutuel racing;ADW,N/A,N/A,N/A,https://horseracing.louisiana.gov/,no,no,verified,2026-05-23,https://lgcb.dps.louisiana.gov/voluntary-exclusions/;https://lsp.org/about/leadershipsections/bureau-of-investigations/gaming-enforcement-division/problem-gambling/;https://horseracing.louisiana.gov/about,The LGCB voluntary exclusion program covers casino gaming at all LGCB-regulated establishments (riverboat casinos; pari-mutuel live racing facility casinos; land-based casino). The language targets casino gaming activities only. The Louisiana State Racing Commission — which regulates horse racing and parimutuel wagering — has no separate voluntary self-exclusion program for racing/ADW. No evidence of a central state exclusion list for horse racing wagering. ADW operators may maintain operator-level tools but no state-administered program found. Retrieval based on LGCB voluntary exclusions page and LSP Gaming Enforcement problem gambling page.
Louisiana,No voluntary self-exclusion program (confirmed — charitable gaming not regulated by LGCB),none,Louisiana Department of Revenue — Office of Charitable Gaming,charitable gaming (bingo;pull-tabs;raffles;keno),N/A,N/A,N/A,https://www.ocg.louisiana.gov/,no,no,verified,2026-05-23,https://www.ocg.louisiana.gov/;https://lgcb.dps.louisiana.gov/frequently-asked-questions/,"The LGCB FAQ explicitly states: 'The Louisiana Gaming Control Board does not regulate fundraising, raffles, or bingo.' Charitable gaming is regulated by the Louisiana Department of Revenue, Office of Charitable Gaming (OCG). The OCG website contains no self-exclusion or responsible gaming program. Louisiana charitable gaming statutes (La. Rev. Stat. Tit. 4; La. Admin. Code Tit. 42) contain no self-exclusion provisions. No self-exclusion program exists for charitable gaming in Louisiana."
Maine,Maine Gambling Control Unit — Self-Exclusion Program (Casino),state-run,Maine Gambling Control Unit (Gambling Control Board),Commercial casino,Online (virtual via Zoom with ADEPT Problem Gambling Services Coordinator); in person at licensed casino; in person at designated Office of Substance Abuse sites,1 year; 3 years; 5 years; or lifetime (lifetime requires completing a shorter term first),Request to Gambling Control Unit; specific removal process details not confirmed on official page; needs human review,https://www.maine.gov/selfexclusion,no,no,verified,2026-05-23,https://www.maine.gov/selfexclusion;https://adeptme.org/self-exclusion-locations/;https://wgme.com/news/local/maine-gambling-control-board-launches-virtual-self-exclusion-program-march-problem-gambling-awareness-month-casino-gambling,Maine Gambling Control Unit holds official list; distributes to licensed casinos. Virtual option launched March 2023 via ADEPT/AdCare. Lottery not covered. No specific horse/parimutuel racing (harness) self-exclusion program identified under Harness Racing Commission — GCU regulates advance deposit wagering but no separate harness-specific list found.
Maine,Maine Gambling Control Unit — Self-Exclusion Program (Sports Wagering),state-run,Maine Gambling Control Unit (Gambling Control Board),Sports betting (online and retail),Online (virtual via Zoom with ADEPT Coordinator; can also self-exclude via operator platform/app); in person at licensed casino or GCB office,1 year; 3 years; 5 years; or lifetime (lifetime requires completing a shorter term first),Request to Gambling Control Unit,https://www.maine.gov/selfexclusion,no,no,verified,2026-05-23,https://www.maine.gov/selfexclusion;https://adeptme.org/self-exclusion-locations/;https://spectrumlocalnews.com/me/maine/news/2026/04/03/data-links-new-problem-gambling-to-online-sports-betting-in-maine,"Separate exclusion list maintained for sports wagering operators. GCU holds official list and distributes only to sports wagering operators. Operators can also accept self-exclusion through their own platform per Maine GCB Chapter 13 rules adopted October 2025. As of 2025 data: 30 new sports betting self-exclusions, 87.5% increase year-over-year."
Maine,No Program — Lottery,none,Maine State Lottery (Bureau of Alcoholic Beverages and Lottery Operations),Lottery,N/A,N/A,N/A,https://www.mainelottery.com/,no,no,verified,2026-05-23,https://www.mainelottery.com/,Maine State Lottery does not operate iLottery; retail only. No Maine Lottery self-exclusion program identified. Maine GCU self-exclusion covers casinos and sports betting but not lottery.
Maine,No voluntary self-exclusion program for horse racing/ADW (Maine GCU SE covers casino and sports wagering only),none,Maine Gambling Control Unit (Department of Public Safety),horse/parimutuel racing;ADW,N/A,N/A,N/A,https://www.maine.gov/dps/gcu/advance-deposit-wagering,no,no,verified,2026-05-23,https://www.maine.gov/dps/gcu;https://adeptme.org/self-exclusion-locations/;https://www.maine.gov/selfexclusion,Maine GCU operates self-exclusion lists for (1) casino/slot facilities and (2) sports wagering. ADW/advance deposit wagering and horse racing parimutuel wagering are not listed as covered verticals by the GCU self-exclusion program. The ADEPT Maine self-exclusion locations page confirms coverage for casinos and sports wagering only; ADW/horse racing is not mentioned. Harness racing is regulated by the Maine State Harness Racing Commission (DACF); ADW is licensed by the GCU. Neither body administers a voluntary self-exclusion list for racing/ADW. ADW license-holder (Penn ADW/Hollywoodraces.com) may offer operator-level tools but no state-administered program confirmed.
Maryland,Maryland Lottery and Gaming Control Agency — Voluntary Exclusion Program (VEP),state-run,Maryland Lottery and Gaming Control Agency (MLGCA),Commercial casino;Lottery;Sports betting (retail and online);DFS;Electronic instant bingo,In person at MLGCA headquarters (Baltimore) or at any of Maryland's licensed casinos; in extenuating circumstances may mail notarized application with prior approval of Responsible Gaming Program Director,Two years or lifetime,Two-year: after minimum two years submit formal application with documentation — one of: problem gambling assessment from licensed professional; completion of approved treatment program; or approved healthy decision-making program; MLGCA makes final determination. Lifetime: no removal. Removal is NOT automatic.,https://www.mdgaming.com/welcome/responsible-gambling/voluntary-exclusion-program/,no,no,verified,2026-05-23,https://www.mdgaming.com/welcome/responsible-gambling/voluntary-exclusion-program/;https://www.mdgamblinghelp.org/voluntary-exclusion-program/,"Single unified VEP covering casinos, Maryland Lottery games, sports wagering, daily fantasy sports, and electronic instant bingo halls. Telephone: 410-230-8798; email: responsible.gaming@maryland.gov. Program established 2011; expanded to sports wagering and DFS. Maryland Racing Commission (horse racing under Dept. of Labor) is separate — no MLGCA VEP coverage for horse racing; see notes."
Maryland,No state voluntary exclusion program for horse racing/ADW (MLGCA VEP covers lottery/casino/sports/DFS/bingo; Racing Commission has no SE program),none,Maryland Racing Commission (Department of Labor),horse/parimutuel racing;ADW,N/A,N/A,N/A,https://labor.maryland.gov/racing/,no,no,verified,2026-05-23,https://www.mdgaming.com/welcome/responsible-gambling/voluntary-exclusion-program/;https://www.mdgamblinghelp.org/voluntary-exclusion-program/;https://labor.maryland.gov/racing/;http://mdrules.elaws.us/comar/09_10,Maryland's Voluntary Exclusion Program (MLGCA/mdgaming.com) covers Maryland Lottery; Maryland casinos; electronic instant bingo halls; sports wagering; daily fantasy sports. Horse racing and ADW parimutuel wagering are not included. The Maryland Racing Commission (COMAR Title 09 Subtitle 10) has six chapters covering thoroughbred rules; harness racing; prohibited acts; general; satellite simulcast betting; new racetrack license — none include voluntary self-exclusion provisions. ADW operators (TwinSpires; TVG/FanDuel Racing) maintain operator-level account self-exclusion independently. No state-administered program for horse racing/ADW confirmed.
Massachusetts,Massachusetts Gaming Commission — Voluntary Self-Exclusion (VSE) Program,state-run,Massachusetts Gaming Commission (MGC),Commercial casino;Sports betting (retail and online),Phone: 1-800-GAM-1234 (24-hour); online via gamesensema.com / PlayWell; in person at PlayWell (GameSense) Info Centers at Plainridge Park Casino; MGM Springfield; Encore Boston Harbor,One year; three years; five years; or lifetime (lifetime available only after completing a shorter term),Must complete a reinstatement session with trained professional who discusses safe gaming tips; risks; and referrals to additional help before removal,https://massgaming.com/about/voluntary-self-exclusion/,no,no,verified,2026-05-23,https://massgaming.com/about/voluntary-self-exclusion/;https://gamesensema.com/voluntary-self-exclusion/;https://massgaming.com/blog-post/mgc-debuts-voluntary-self-exclusion-program-for-sports-wagering/,"Covers casino gaming floors AND retail/digital sports wagering. Dual self-exclusion option available for both verticals simultaneously. Casino VSE launched 2015; sports wagering VSE launched January 31, 2023. As of March 2023 (March Madness) both lists fully operational. Lottery NOT covered — MGC VSE does not apply to Massachusetts State Lottery. Contact: 617-533-9737 or vse@massgaming.gov."
Massachusetts,No Program — Lottery,none,Massachusetts State Lottery Commission,Lottery,N/A,N/A,N/A,https://www.masslottery.com/,no,no,verified,2026-05-23,https://massgaming.com/about/voluntary-self-exclusion/;https://www.masslottery.com/,Massachusetts Lottery is not covered by the MGC VSE program. No separate Massachusetts Lottery self-exclusion program identified. Massachusetts Lottery looking at potential iLottery future launch but no online platform or self-exclusion confirmed as of research date.
