jurisdiction,body_type,body_name,verticals_covered,address,phone,website,facebook,twitter_x,linkedin,youtube,other_social,leadership_title,leadership_name,leadership_email,general_email,source_urls,retrieval_date,notes
Connecticut,State Lottery,Connecticut Lottery Corporation,Lottery,,860-713-2700,https://www.naspl.org/naspl-lottery-members/connecticut-lottery-corporation,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/connecticut-lottery-corporation; https://www.naspl.org/naspl-lottery-members/connecticut-lottery-corporation; https://www.naspl.org/naspl-lottery-members/connecticut-lottery-corporation; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Connecticut,Tribal Gaming Commission,Mashantucket Pequot Indian Tribe — Tribal Gaming Commission,Tribal Class II & III,"P.O. Box 3060 2 Matts Path, Mashantucket CT",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,rodneybutler@mptn-nsn.gov,rodneybutler@mptn-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Connecticut,Tribal Gaming Commission,Mohegan Tribe of Indians of Connecticut — Tribal Gaming Commission,Tribal Class II & III,"13 Crow Hill Rd., Uncasville CT 06382",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jgessner@moheganmail.com,jgessner@moheganmail.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Delaware,State Gaming Control Board / Commission,Delaware Gaming Control Board,"Multiple (casino, sports betting, tribal, fantasy)",,,https://dge.delaware.gov/,https://www.facebook.com/delaware.gov,https://twitter.com/delaware_gov/,,https://www.youtube.com/user/DelawareGovernment,instagram: https://www.instagram.com/delaware_gov/,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://dge.delaware.gov/; https://dge.delaware.gov/about/; https://dge.delaware.gov/; https://delaware.gov/contact/; https://dge.delaware.gov/about/index.shtml?dc=aboutagency,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Delaware,State Lottery,Delaware State Lottery,Lottery,,(302) 739-5291,https://www.delottery.com/,https://www.facebook.com/delottery,,,https://www.youtube.com/channel/UCWNBp-D5SA3Ogkr-QbWqQTw,instagram: https://www.instagram.com/delottery/,"Director,",Delaware Lottery Delaware Lottery,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.delottery.com/; https://www.delottery.com/contact-us; https://www.delottery.com/about-us; https://www.delottery.com/; https://www.delottery.com/Contact-Us; https://www.delottery.com/About-Us,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Delaware,State Racing Commission,Delaware Harness Racing Commission,Harness horse racing; pari-mutuel wagering,not publicly available,not publicly available,https://agriculture.delaware.gov/harness-racing-commission/,,,,,,,not publicly available,not publicly available,not publicly available,https://agriculture.delaware.gov/harness-racing-commission/,2026-05-22,Operates within the Delaware Department of Agriculture. Chair Beth Steele; Executive Director Bob Schiewe (per official site retrieved 2026-05-22). Added 2026-05-22.
Delaware,State Racing Commission,Delaware Thoroughbred Racing Commission,Thoroughbred horse racing; pari-mutuel wagering,not publicly available,not publicly available,https://agriculture.delaware.gov/thoroughbred-racing-commission/,,,,,,,not publicly available,not publicly available,not publicly available,https://agriculture.delaware.gov/thoroughbred-racing-commission/; https://thoroughbredracing.delaware.gov/,2026-05-22,Operates within the Delaware Department of Agriculture. Separate from the Delaware Harness Racing Commission. Added 2026-05-22.
District of Columbia,Office of Lottery and Gaming,DC Office of Lottery and Gaming (OLG),"Lottery, sports betting (GambetDC), charitable gaming",,,https://dclottery.com/about/og,,,,,,,,,,https://dclottery.com/about/og,2026-05-22,GAPFILL: Operates DC Lottery and DC Sports Wagering Program. Charitable gaming under DC Code §22-1717.
District of Columbia,State Lottery,District Of Columbia Office Of Lottery And Gaming,Lottery,"2235 Shannon Place, S.E. Washington, DC 20020-5731",202-788-2094,https://dclottery.com/,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,,,info@nasplhq.org,https://dclottery.com/; https://www.naspl.org/naspl-lottery-members/district-of-columbia-office-of-lottery-and-gaming; https://www.naspl.org/naspl-lottery-members/district-of-columbia-office-of-lottery-and-gaming,2026-05-22,"Replaced NASPL placeholder URL with official DC Office of Lottery and Gaming site (dclottery.com). Original NASPL source retained. Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Federal (United States),Federal Gaming Regulator,National Indian Gaming Commission (NIGC),Tribal gaming (Class II & Class III) — federal oversight under IGRA,"1849 C Street NW, Mail Stop #1621, Washington, DC 20240",(202) 632-7003,https://www.nigc.gov/,https://www.facebook.com/NIGCgov,https://twitter.com/NIGCgov,https://www.linkedin.com/company/national-indian-gaming-commission,https://www.youtube.com/channel/UC9wbWwDJueEGSrswtzttL3Q,,Chair,not yet verified — confirm via /commission/commissioners/,not publicly available,not publicly available,https://www.nigc.gov/; https://www.nigc.gov/commission/about-us/contact-us/; https://www.nigc.gov/commission/commissioners/,2026-05-22,"Federal commission established under Indian Gaming Regulatory Act (IGRA, 1988). Regulates Class II directly; oversees Class III via state-tribal compacts."
Florida,State Attorney General (enforcement),Florida Office of the Attorney General,Illegal gambling enforcement; statewide prosecution; consumer protection,not publicly available,not publicly available,https://www.myfloridalegal.com/,,,,,,,not publicly available,not publicly available,not publicly available,https://www.myfloridalegal.com/,2026-05-22,Attorney General James Uthmeier (per official site retrieved 2026-05-22). Charitable gambling/bingo in Florida is largely regulated at the local level under Ch. 849.0931 F.S.; AG handles statewide enforcement of illegal gambling. Added 2026-05-22.
Florida,State Gaming Commission,Florida Gaming Control Commission,"Pari-mutuel wagering, cardrooms, slot machines (Miami-Dade/Broward), tribal gaming compact oversight",,(850) 880-3433,https://flgaming.gov/,https://www.facebook.com/profile.php?id=61584701696814,https://twitter.com/FLGamingControl/status/2029274371412639798?ref_src=twsrc%5Etfw,https://www.linkedin.com/company/80253080/admin/page-posts/published/,,instagram: https://www.instagram.com/flgamingcontrol/,Executive Director,Alana Zimmer,,ContactUs@flgaming.gov,https://flgaming.gov/; https://flgaming.gov/; https://flgaming.gov/contact/; https://flgaming.gov/about/,2026-05-22,GAPFILL: Created 2021 by SB 7080 to take over from Division of Pari-Mutuel Wagering. Operational 2022.
Florida,State Lottery,Florida Lottery,Lottery,,850-487-7787,http://www.flalottery.com/,https://www.facebook.com/FloridaLottery,https://www.twitter.com/FloridaLottery,https://www.linkedin.com/company/floridalottery,https://www.youtube.com/floridalottery,instagram: https://www.instagram.com/floridalottery,,,,CLAIMSPROCESSING@flalottery.com,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://floridalottery.com/; https://floridalottery.com/help/contact; https://floridalottery.com/about; https://floridalottery.com/; https://floridalottery.com/play-responsibly; https://floridalottery.com/winning/winner-resources,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Florida,Tribal Gaming Commission,Miccosukee Tribe of Indians of Florida — Tribal Gaming Commission,Tribal Class II,"P.O. Box 440021 Tamiami Station, Miami FL 33144",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,BeverlyT@miccosukeetribe.com,BeverlyT@miccosukeetribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Florida,Tribal Gaming Commission,Seminole Tribe of Florida — Tribal Gaming Commission,Tribal Class II & III,"6300 Stirling Road, Hollywood FL 33024",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,marcellusosceola@semtribe.com,marcellusosceola@semtribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Georgia,Charitable Gaming Regulator,Georgia Bureau of Investigation Bingo Unit,"Charitable gaming (bingo, raffles, pull-tabs)",,(404) 244-2600,https://gbi.georgia.gov/divisions,https://www.facebook.com/pages/Georgia-Bureau-of-Investigation/240044036157568,https://x.com/GBI_GA,,,,"Director,",Legal Division Fred Mays,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://gbi.georgia.gov/divisions; https://gbi.georgia.gov/contact-us; https://gbi.georgia.gov/about; https://gbi.georgia.gov/about-us; https://gbi.georgia.gov/divisions; https://gbi.georgia.gov/about-us; https://gbi.georgia.gov/about-us/chris-hosey,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Georgia,State Lottery,Georgia Lottery Corporation,Lottery,,404-215-5000,https://www.naspl.org/naspl-lottery-members/georgia-lottery-corporation,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/georgia-lottery-corporation; https://www.naspl.org/naspl-lottery-members/georgia-lottery-corporation; https://www.naspl.org/naspl-lottery-members/georgia-lottery-corporation; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Guam,Territorial Attorney General (enforcement),Guam Attorney General,Gambling enforcement. Guam has no commercial casinos; charitable gaming and pari-mutuel limited.,,,https://oagguam.org/,http://facebook.com/guamattorneygeneral,https://twitter.com/i/flow/login?redirect_after_login=%2Foagdbm,,https://youtube.com/shorts/GlKu9Pi_dT8?si=QBNxLD0lUEFhXZVj,instagram: http://instagram.com/oagguam,,,,gcd@oagguam.org,https://oagguam.org/; https://guamattorneygeneral.org/,2026-05-22,"GAPFILL: Limited legal gaming: charitable bingo, raffles, and on-track pari-mutuel under Guam Code 10 GCA Chapter 31."
Guam,Territory Gaming Authority,Guam Department of Revenue and Taxation — Regulatory Division,Liquor licensing; tobacco; certain regulated activities including limited gaming oversight,not publicly available,not publicly available,https://www.guamtax.com/about/regulatory.html,,,,,,,not publicly available,not publicly available,not publicly available,https://www.guamtax.com/about/regulatory.html,2026-05-22,Guam has limited legal gambling (no casinos; charity bingo/raffles; cockfighting historically). Regulatory Division within DRT handles certain gaming-adjacent licensing. Added 2026-05-22.
Hawaii,State Attorney General (enforcement),Hawaii Attorney General — Criminal Justice Division,Gambling enforcement (all forms of commercial gambling illegal in HI),,1-808-586-1500,https://ag.hawaii.gov/cjd/,,,,,,,,,,https://ag.hawaii.gov/cjd/; https://ag.hawaii.gov/cjd/,2026-05-22,GAPFILL: Hawaii is one of two states with NO legal gambling. AG enforces criminal gambling statutes (HRS §712-1220 et seq.).
Idaho,State Lottery,Idaho Lottery,Lottery,,208-334-4656,https://www.idaholottery.com/,https://www.facebook.com/idaholottery/,https://twitter.com/idaholottery,,https://www.youtube.com/user/idaholottery,instagram: https://www.instagram.com/idaholottery/,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.idaholottery.com/; https://www.idaholottery.com/contact; https://www.idaholottery.com/; https://www.idaholottery.com/pages/about-us; https://www.idaholottery.com/pages/contact-us,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Idaho,State Racing Commission,Idaho State Racing Commission,Horse/Greyhound Racing,"700 S. Stratford Drive, Meridian, ID 83642",208-773-0545,https://isp.idaho.gov/racing/,https://facebook.com/IdahoStatePolice,https://twitter.com/ISPHeadquarters,https://linkedin.com/company/idaho-state-police,https://youtube.com/@TheIdahoStatePolice,instagram: https://instagram.com/idahostatepoliceofficial,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://isp.idaho.gov/racing/; https://isp.idaho.gov/contact/; https://isp.idaho.gov/contact/; https://isp.idaho.gov/contact/; https://isp.idaho.gov/contact/; https://isp.idaho.gov/about-us/; https://isp.idaho.gov/about-us/; https://isp.idaho.gov/about-us/leadership/; https://isp.idaho.gov/about-us/leadership/; https://isp.idaho.gov/racing/staff/; https://isp.idaho.gov/racing/staff/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Idaho,Tribal Gaming Commission,Coeur d'Alene Tribe — Tribal Gaming Commission,Tribal Class II & III,"PO Box 408 850 A Street, Plummer ID 83851",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,chief@cdatribe-nsn.gov,chief@cdatribe-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Idaho,Tribal Gaming Commission,Kootenai Tribe of Idaho — Tribal Gaming Commission,Tribal Class II & III,"PO Box 1269 100 Circle Dr, Bonners Ferry ID 83805",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jennifer@kootenai.org,jennifer@kootenai.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Idaho,Tribal Gaming Commission,Nez Perce Tribe — Tribal Gaming Commission,Tribal Class II & III,"PO Box 305 100 Agency Rd, Lapwai ID 83540",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,shannonw@nezperce.org,shannonw@nezperce.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Idaho,Tribal Gaming Commission,"Shoshone-Bannock Tribes, Idaho — Tribal Gaming Commission",Tribal Class II & III,"PO Box 306 Agency Bldg 82, 1 Pima Drive, Fort Hall",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,ltyler@sbtribes.com,ltyler@sbtribes.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Illinois,State Charitable Gaming Regulator,Illinois Department of Revenue — Charitable Games Section,Charitable games; bingo; raffles; pull-tabs,not publicly available,not publicly available,https://tax.illinois.gov/research/taxinformation/charitygaming/charitable.html,,,,,,,not publicly available,not publicly available,not publicly available,https://tax.illinois.gov/research/taxinformation/charitygaming/charitable.html,2026-05-22,Charitable gaming licensing handled by Illinois Department of Revenue. Added 2026-05-22.
Illinois,State Gaming Commission,Illinois Gaming Board (IGB),Casino gambling; video gaming; sports wagering,not publicly available,not publicly available,https://igb.illinois.gov/,,,,,,,not publicly available,not publicly available,not publicly available,https://igb.illinois.gov/,2026-05-22,"Primary regulator for all licensed casino gambling, video gaming, and sports wagering in Illinois. Per official site (retrieved 2026-05-22): 17 casinos, ~9,000 licensed video gaming locations, 15 sportsbooks; $2.2B in 2025 tax revenue. Offices Chicago + Springfield. Added 2026-05-22."
Illinois,State Lottery,Illinois Department Of The Lottery,Lottery,,312-793-3030,https://www.naspl.org/naspl-lottery-members/illinois-department-of-the-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/illinois-department-of-the-lottery; https://www.naspl.org/naspl-lottery-members/illinois-department-of-the-lottery; https://www.naspl.org/naspl-lottery-members/illinois-department-of-the-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Illinois,State Racing Commission,Illinois Racing Board,Horse/Greyhound Racing,,,https://www2.illinois.gov/sites/irb/Pages/default.aspx,https://www.facebook.com/GovPritzker,https://twitter.com/GovPritzker,,,instagram: https://www.instagram.com/GovPritzker/,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov; https://www.illinois.gov,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Indiana,Federal Tribal Gaming Regulator,Indiana Gaming Commission,Tribal gaming (Class II & III),,1-800-457-8283,https://www.in.gov/igc/,,,,,,Executive Director,Joe B. Hoage Executive,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.in.gov/igc/; https://www.in.gov/igc/; https://www.in.gov/igc/about-us/; https://www.in.gov/igc/about-us/topics/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Indiana,State Lottery,Hoosier Lottery,Lottery,,317-264-4677,https://www.naspl.org/naspl-lottery-members/hoosier-lottery,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/hoosier-lottery; https://www.naspl.org/naspl-lottery-members/hoosier-lottery; https://www.naspl.org/naspl-lottery-members/hoosier-lottery; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
Indiana,State Lottery,Indiana Hoosier Lottery®,Lottery,"6886 North Region Prize Payment Center 230 Red Coach Drive, Suite D Mishawaka, IN 46545",1-800-994-8448,https://www.hoosierlottery.com,https://www.facebook.com/hoosierlottery,https://twitter.com/hoosierlottery,,http://www.youtube.com/thehoosierlottery,instagram: http://instagram.com/hoosierlottery,,,,info@hoosierlottery.com,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://hoosierlottery.com/; https://hoosierlottery.com/contact-us/; https://hoosierlottery.com/who-we-are/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Indiana,Tribal Gaming Commission,Pokagon Band of Potawatomi Indians of — Tribal Gaming Commission,Tribal Class II & III,"PO Box 180 58620 Sink Rd., Dowagiac MI 49047",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,Matthew.wesaw@pokagonband-nsn.gov,Matthew.wesaw@pokagonband-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Iowa,State Department (gaming subdivision),Iowa Department of Inspections and Appeals,Multiple (varies by state),,,https://dia.iowa.gov/,,,https://www.linkedin.com/company/state-of-iowa/,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/; https://dial.iowa.gov/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Iowa,State Gaming Control Board / Commission,Iowa Gaming Bureau,"Multiple (casino, sports betting, tribal, fantasy)",,515.725.6000,https://dps.iowa.gov/,https://www.facebook.com/IowaDPS,https://x.com/iowadps,https://www.linkedin.com/company/iowa-dept-of-public-safety,https://www.youtube.com/DPSIowa,instagram: https://www.instagram.com/iowa_dps/,"Director,",DCI Field Operations Bureau,,hove@dps.state.ia.us,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://dps.iowa.gov/; https://dps.iowa.gov/contact; https://dps.iowa.gov/contact-icb; https://dps.iowa.gov/about-dps; https://dps.iowa.gov/bureaus-iowa-department-public-safety/iowa-office-drug-control-policy/about-odcp; https://dps.iowa.gov/; https://dps.iowa.gov/contact-dps; https://dps.iowa.gov/contact-dps/pio,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Iowa,State Lottery,Iowa Lottery,Lottery,,,https://www.ialottery.com/,https://www.facebook.com/IowaLottery,https://x.com/ialottery,,https://www.youtube.com/user/IALottery,instagram: https://www.instagram.com/iowalottery/,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.ialottery.com/; https://www.ialottery.com/contact; https://www.ialottery.com/contact-us; https://www.ialottery.com/about/contact; https://www.ialottery.com/contact_us; https://www.ialottery.com/about/contact-us; https://www.ialottery.com/about-us/contact; https://www.ialottery.com/about; https://www.ialottery.com/about-us; https://www.ialottery.com/leadership; https://www.ialottery.com/about/leadership; https://www.ialottery.com/staff; https://www.ialottery.com/about/staff; https://www.ialottery.com/commissioners; https://www.ialottery.com/about/commissioners; https://www.ialottery.com/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Iowa,Tribal Gaming Commission,Omaha Tribe of Nebraska — Tribal Gaming Commission,Tribal Class III 502.3 &,"P.O. Box 368, Macy NE 68039",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,jason.sheridan@theomahatribe.com,jason.sheridan@theomahatribe.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Iowa,Tribal Gaming Commission,Sac & Fox Tribe of the Mississippi in Iowa — Tribal Gaming Commission,Tribal Class II & III,"349 Meskwaki Road, Tama IA 52339",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,vern.jefferson@meskwaki-nsn.gov,vern.jefferson@meskwaki-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kansas,State Gaming Control Board / Commission,Kansas State Gaming Agency,"Multiple (casino, sports betting, tribal, fantasy)",,,http://www.kansas.gov/ksga/,,,,,,,,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.kansas.gov/ksga/; https://www.kansas.gov/ksga/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Kansas,State Lottery,Kansas Lottery,Lottery,,(913) 653-0028,https://www.kslottery.com/,https://www.facebook.com/KansasLottery,https://x.com/kansas_lottery,,https://www.youtube.com/user/KSLottery,instagram: https://www.instagram.com/kslottery/,Executive Director,Lottery Commission Press Releases,,,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://www.kslottery.gov/about-us; https://playonkansas.com/; https://www.kslottery.gov/about-us; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/; https://www.kslottery.gov/commissioners; https://playonkansas.com/; https://playonkansas.com/; https://playonkansas.com/,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Kansas,Tribal Gaming Commission,"Iowa Tribe of Kansas and Nebraska 3345 B Thrasher Rd., White Cloud KS 66094 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,trhodd@iowas.org,trhodd@iowas.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kansas,Tribal Gaming Commission,"Kickapoo Tribe of Indians of the Kickapoo 824 111th Drive, Horton KS 66439 — Tribal Gaming Commission",Tribal Class III 502.3 &,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,gail.cheatham@ktik-nsn.gov,gail.cheatham@ktik-nsn.gov,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kansas,Tribal Gaming Commission,"Prairie Band Potawatomi Nation 16281 Q Road, Mayetta KS 66509 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,josephrupnick@pbpnation.org,josephrupnick@pbpnation.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kansas,Tribal Gaming Commission,"Sac and Fox Nation of Missouri in Kansas & 305 N. Main, Reserve KS 66434 — Tribal Gaming Commission",Tribal Class II & III,,not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,tiauna.carnes@sacandfoxks.com,tiauna.carnes@sacandfoxks.com,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kansas,Tribal Gaming Commission,"Wyandotte Nation, Oklahoma — Tribal Gaming Commission",Tribal Class II & III,"8 Turtle Drive, Wyandotte OK 74370",not publicly available,not publicly available,,,,,,Tribal Chair / Chairperson (tribal HQ),not yet verified,bfriend@wyandotte-nation.org,bfriend@wyandotte-nation.org,https://www.nigc.gov/gaming-tribes (06172025TribesByStatesList.pdf),2026-05-22,Primary contact from NIGC Gaming Tribe Report (June 2025). Tribal Gaming Commission may be a separate entity from tribal HQ — verify in enrichment pass.
Kentucky,Charitable Gaming Regulator,Kentucky Department of Charitable Gaming,"Charitable gaming (bingo, raffles, pull-tabs)",,(502) 875-3722,https://kentucky.gov/Pages/home.aspx,https://www.facebook.com/kygov,https://twitter.com/kygov,,https://www.youtube.com/user/kygov,,,,,support@kentucky.gov,https://www.nagra.org/State-and-Province-Gaming-Regulatory-Agencies; https://www.kentucky.gov/Pages/home.aspx; https://www.kentucky.gov/about/Pages/default.aspx; https://www.kentucky.gov/Pages/home.aspx; https://www.kentucky.gov/about/Pages/default.aspx; https://www.kentucky.gov/about/Pages/sitemap.aspx,2026-05-22,Seeded from NAGRA. Enrich with leadership/address/phone from official site.
Kentucky,State Lottery,Kentucky Lottery Corporation,Lottery,,502-560-1574,https://www.naspl.org/naspl-lottery-members/kentucky-lottery-corporation,,http://twitter.com/naspl_hq,https://www.linkedin.com/company/north-american-association-of-state-&-provincial-lotteries,,,Executive Director,John Koenig Art Director,,info@nasplhq.org,https://www.naspl.org/naspl-lottery-members/kentucky-lottery-corporation; https://www.naspl.org/naspl-lottery-members/kentucky-lottery-corporation; https://www.naspl.org/naspl-lottery-members/kentucky-lottery-corporation; https://www.naspl.org/about-naspl,2026-05-22,"Seeded from NASPL. Member page URL — enrich with official lottery .gov/.com site, director, address, phone."
